exec_time,avg_latency,package_energy,e_cores,st_cores,ht_cores,Solutions
3.151959180831909,0.8465,710.396179,3.0,18.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.1570799350738525,0.8465,712.008728,2.0,19.0,1.0,"8,8,8,8,23,3,3,14,7,11,11,19,4,0,13,13,12,12,12,12,12,12,12"
3.167534351348877,0.8465,762.300964,4.0,17.0,1.0,"8,8,8,8,30,3,31,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.168510913848877,0.8465,710.990295,6.0,15.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,22,22,22"
3.18735671043396,0.8465,750.982422,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,7,11,11,22,4,0,13,13,12,12,12,12,12,12,12"
3.2024333477020264,0.8465,722.923218,3.0,16.0,2.0,"8,8,8,8,30,3,2,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.203636884689331,0.8465,739.515381,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,25,18,4,0,13,13,12,12,12,12,12,12,12"
3.2110679149627686,0.8465,722.67334,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,27,18,4,0,13,13,12,12,12,12,12,12,12"
3.223572015762329,0.8465,718.473083,4.0,17.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,20"
3.230792999267578,0.8465,718.733948,3.0,16.0,2.0,"8,8,8,8,30,3,6,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.247285842895508,0.8465,737.243958,2.0,17.0,2.0,"8,8,8,8,6,3,3,23,7,11,11,18,4,0,13,13,12,12,12,12,12,12,12"
3.2824411392211914,0.8465,725.620911,7.0,14.0,1.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,12,12,12,16,16,16,16"
3.294649124145508,0.8465,705.18335,5.0,14.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,30,4,0,13,13,12,12,12,12,26,26,26"
3.3094871044158936,0.8465,696.940552,2.0,17.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3109350204467773,0.8465,694.779968,2.0,17.0,2.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,0,13,13,12,12,12,12,12,12,12"
3.3163952827453613,0.8465,681.398315,1.0,18.0,2.0,"10,10,10,10,3,3,3,14,7,11,11,31,4,0,13,13,12,12,12,12,12,12,12"
3.319023847579956,0.8465,691.634521,3.0,16.0,2.0,"8,8,8,8,30,3,15,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3199522495269775,0.8465,692.409607,6.0,13.0,2.0,"8,8,8,8,27,3,3,23,7,9,9,16,4,0,13,13,12,12,12,12,26,26,26"
3.3209593296051025,0.8465,774.092468,8.0,11.0,2.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,0,11,6,6,6,4,26,26,26"
3.3307650089263916,0.8465,773.088196,8.0,11.0,2.0,"21,20,15,15,24,8,8,22,2,12,7,29,5,0,0,11,6,6,6,4,26,26,26"
3.3329074382781982,0.8465,689.062622,3.0,16.0,2.0,"8,8,8,8,30,3,3,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.3418684005737305,0.8465,742.160706,1.0,14.0,4.0,"6,8,8,8,9,3,3,30,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.3524231910705566,0.8465,774.465881,8.0,9.0,3.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,9,11,6,6,6,4,26,26,26"
3.3548190593719482,0.8465,808.178284,9.0,10.0,2.0,"21,20,15,15,24,8,8,17,2,12,7,29,5,0,0,11,6,6,23,4,26,26,26"
3.359356641769409,0.8465,733.741272,2.0,15.0,3.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,0,13,15,12,12,12,12,12,12,12"
3.3678786754608154,0.8465,823.742249,7.0,8.0,4.0,"21,20,15,15,24,8,8,10,2,12,7,29,5,0,9,11,6,6,6,4,26,26,26"
3.3695850372314453,0.8465,742.001709,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,23,4,0,13,13,12,12,12,12,12,12,12"
3.378432035446167,0.8465,750.456299,1.0,16.0,3.0,"8,8,8,8,9,3,3,14,7,11,31,15,4,0,13,13,12,12,12,12,12,12,12"
3.378706932067871,0.8465,739.937256,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,22,4,0,13,13,12,12,12,12,12,12,12"
3.379884719848633,0.8465,782.136414,4.0,19.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,18,18"
3.381145477294922,0.8465,735.700867,1.0,20.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,20,4,0,13,13,12,12,12,12,12,12,12"
3.381621837615967,0.8465,786.925476,9.0,10.0,2.0,"21,20,15,15,28,8,8,17,2,12,7,29,5,0,0,11,6,6,23,4,26,26,26"
3.388279914855957,0.8465,768.825439,4.0,19.0,0.0,"9,9,9,9,5,5,5,10,10,1,31,31,7,15,2,2,13,13,13,13,13,18,18"
3.3926103115081787,0.8465,789.548584,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,12,24,29,5,0,0,11,6,6,23,4,26,26,26"
3.397390604019165,0.8465,822.001282,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,13,13"
3.4005680084228516,0.8465,744.206055,0.0,19.0,2.0,"10,10,10,10,3,3,3,14,8,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.400939702987671,0.8465,798.198303,3.0,20.0,0.0,"9,9,9,25,5,5,5,10,10,1,30,30,7,15,2,2,13,13,13,13,13,13,13"
3.403988838195801,0.8465,768.616638,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,17,7,15,2,2,13,13,13,13,13,13,13"
3.4066481590270996,0.8465,744.817383,1.0,16.0,3.0,"8,8,8,8,9,3,3,14,7,11,20,15,4,0,13,13,12,12,12,12,12,12,12"
3.4090936183929443,0.8465,750.560486,0.0,15.0,4.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,10,10,10"
3.412654399871826,0.8465,752.258911,2.0,11.0,5.0,"6,8,8,10,14,3,3,22,7,11,11,15,4,0,30,13,12,12,12,12,12,2,2"
3.414645195007324,0.8465,788.924805,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,6,6,23,4,26,26,26"
3.4159953594207764,0.8465,751.092651,1.0,12.0,5.0,"6,8,8,10,9,3,3,16,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.416123867034912,0.8465,757.330688,4.0,15.0,2.0,"9,9,9,9,5,3,20,13,10,1,30,30,7,15,2,18,12,12,12,12,12,12,12"
3.418274402618408,0.8465,741.616516,1.0,12.0,5.0,"6,8,8,10,14,3,3,22,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.420198678970337,0.8465,754.513184,0.0,21.0,1.0,"8,8,8,8,3,3,3,14,14,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.420494318008423,0.8465,776.772217,6.0,17.0,0.0,"9,9,9,9,5,5,5,13,10,1,19,26,6,15,2,2,2,2,2,22,22,22,22"
3.4231393337249756,0.8465,730.704468,0.0,19.0,2.0,"8,8,8,8,3,3,3,14,9,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.4255404472351074,0.8465,741.26062,0.0,17.0,3.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,12,12,12"
3.427778720855713,0.8465,729.350708,0.0,17.0,3.0,"8,8,8,8,9,3,3,14,7,11,11,2,4,0,13,13,12,12,12,12,12,12,12"
3.428680181503296,0.8465,750.288818,1.0,10.0,6.0,"6,8,8,10,9,3,3,16,7,11,11,15,4,0,14,13,12,12,12,12,12,2,2"
3.430485963821411,0.8465,779.843994,9.0,12.0,1.0,"9,9,9,9,5,5,5,13,10,1,30,30,6,15,20,20,12,12,17,17,17,17,17"
3.435889959335327,0.8465,775.940491,3.0,20.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,18,13,13,13,13,13,13,13"
3.4381308555603027,0.8465,704.309448,3.0,14.0,3.0,"8,8,8,8,30,3,3,23,7,9,1,18,4,0,13,13,12,12,12,12,12,12,12"
3.4402246475219727,0.8465,757.10437,10.0,9.0,2.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,9,9,23,4,26,26,26"
3.4470677375793457,0.8465,769.644592,10.0,7.0,3.0,"21,20,15,10,28,8,8,17,2,13,24,29,5,0,0,11,9,9,23,4,26,26,26"
3.4517199993133545,0.8465,767.822327,9.0,10.0,2.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,9,9,7,4,26,26,26"
3.4566118717193604,0.8465,711.951294,0.0,17.0,3.0,"10,10,10,10,3,3,3,8,7,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.457160472869873,0.8465,778.922424,5.0,18.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,18,12,12,12,12,12,25,25"
3.4658150672912598,0.8465,751.791077,2.0,11.0,5.0,"6,8,8,10,9,3,23,24,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.4667153358459473,0.8465,747.264099,2.0,13.0,4.0,"8,8,8,8,9,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,10,17,17"
3.470754623413086,0.8465,706.013855,0.0,17.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,15,4,0,13,13,12,12,12,12,12,12,12"
3.473625898361206,0.8465,700.350769,0.0,17.0,3.0,"10,10,10,10,3,7,7,14,8,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.475233316421509,0.8465,765.101257,10.0,11.0,1.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,11,11,23,4,26,26,26"
3.475853681564331,0.8465,772.626587,6.0,17.0,0.0,"9,9,9,9,5,5,5,13,10,1,19,26,6,15,2,2,2,2,2,31,31,31,31"
3.482722759246826,0.8465,819.199951,3.0,8.0,6.0,"6,8,8,8,8,3,3,7,7,11,14,15,4,0,24,13,12,12,25,25,10,2,1"
3.484285831451416,0.8465,828.658936,0.0,13.0,5.0,"6,8,8,8,8,3,9,7,7,11,14,15,4,0,0,13,12,12,12,12,12,2,2"
3.4880497455596924,0.8465,696.737976,1.0,16.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,12,12,28"
3.494178295135498,0.8465,701.544189,3.0,14.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,23,23,28"
3.4971461296081543,0.8465,793.028931,3.0,10.0,5.0,"6,8,8,8,8,3,3,7,7,11,14,15,4,0,24,13,12,12,18,18,10,2,2"
3.4976565837860107,0.8465,793.612366,0.0,13.0,5.0,"6,8,8,8,8,3,3,7,7,11,14,15,4,0,0,13,12,12,12,12,10,2,2"
3.497774362564087,0.8465,683.218079,0.0,17.0,3.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,12,12,12"
3.4986462593078613,0.8465,794.340637,0.0,11.0,6.0,"6,8,8,8,8,3,9,7,7,11,14,15,4,0,0,13,12,12,12,12,10,2,2"
3.5001442432403564,0.8465,779.025696,9.0,12.0,1.0,"21,20,15,15,28,8,8,17,2,13,24,29,5,0,0,11,11,11,23,4,6,26,26"
3.5014264583587646,0.8465,788.968994,0.0,13.0,5.0,"8,8,8,8,8,3,3,7,7,11,14,15,4,0,0,13,12,12,5,5,10,2,2"
3.5023317337036133,0.8465,724.336304,8.0,9.0,3.0,"21,15,15,15,28,8,10,17,12,13,24,22,5,0,0,11,9,9,9,9,16,26,30"
3.5037310123443604,0.8465,763.601013,4.0,19.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,20,20,13,13,13,13,13,13,13"
3.5039989948272705,0.8465,735.669678,2.0,9.0,6.0,"6,8,8,10,9,3,3,7,14,11,11,15,5,0,0,13,12,12,12,12,16,2,24"
3.5055673122406006,0.8465,695.559265,1.0,16.0,3.0,"10,10,10,10,3,3,3,14,7,11,29,6,4,0,13,13,12,12,12,12,12,12,12"
3.5067138671875,0.8465,843.851257,3.0,12.0,4.0,"18,8,8,8,8,3,9,7,7,11,14,15,4,0,0,13,12,12,12,12,10,25,25"
3.507352828979492,0.8465,748.793274,9.0,12.0,1.0,"21,15,15,15,28,8,17,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,31"
3.5112497806549072,0.8465,786.863037,5.0,10.0,4.0,"6,8,8,10,9,3,3,7,7,11,11,15,4,1,1,13,2,2,31,31,31,31,31"
3.5125720500946045,0.8465,769.186035,3.0,20.0,0.0,"9,9,9,9,5,5,5,10,10,1,26,26,7,15,2,18,13,13,13,13,13,13,13"
3.512932538986206,0.8465,803.137878,11.0,10.0,1.0,"21,20,15,15,28,8,30,17,2,12,24,29,5,0,0,11,6,6,23,4,26,26,26"
3.5133614540100098,0.8465,763.841492,11.0,8.0,2.0,"21,20,15,15,28,8,18,17,2,13,24,29,5,0,0,11,9,9,23,4,26,26,26"
3.5135855674743652,0.8465,765.134888,3.0,12.0,4.0,"6,8,8,8,9,3,3,7,7,11,14,15,4,0,0,13,12,12,12,12,17,17,17"
3.5196774005889893,0.8465,726.743164,0.0,15.0,4.0,"10,10,10,10,3,3,3,14,7,11,11,6,4,0,13,13,12,12,12,12,2,2,2"
3.519826650619507,0.8465,773.577087,0.0,13.0,5.0,"6,8,8,8,9,3,3,7,7,11,14,15,4,0,0,13,12,12,12,12,12,2,2"
3.521225929260254,0.8465,793.353455,6.0,9.0,4.0,"6,8,8,10,9,3,3,7,7,11,11,15,4,1,21,13,2,2,27,27,27,27,27"
3.5218639373779297,0.8465,778.421814,0.0,11.0,6.0,"6,8,8,8,9,3,3,7,7,11,14,15,4,0,0,13,12,12,12,12,10,2,2"
3.524501323699951,0.8465,701.002197,1.0,14.0,4.0,"6,6,10,10,9,3,3,14,7,11,31,15,4,0,13,13,12,12,12,12,12,12,12"
3.5248851776123047,0.8465,774.694946,0.0,11.0,6.0,"6,8,8,8,9,3,3,7,7,11,14,15,4,0,0,13,12,12,10,10,10,2,2"
3.5300405025482178,0.8465,777.527954,4.0,9.0,5.0,"6,8,8,10,9,3,3,7,7,11,11,15,4,0,0,13,12,12,14,30,17,17,17"
3.5304453372955322,0.8465,725.928528,9.0,12.0,1.0,"21,15,15,15,28,8,17,17,12,13,24,22,5,0,7,11,11,11,11,11,16,26,30"
3.537720203399658,0.8465,694.237061,0.0,15.0,4.0,"8,8,8,8,9,10,10,14,7,11,11,15,2,0,13,13,12,12,12,12,12,12,12"
3.5390141010284424,0.8465,769.541809,11.0,10.0,1.0,"21,20,15,16,28,8,8,17,2,13,24,29,5,0,0,11,11,11,23,4,26,26,26"
3.5406036376953125,0.8465,772.893066,0.0,13.0,5.0,"6,8,8,10,9,3,3,7,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.5408051013946533,0.8465,855.820129,5.0,16.0,1.0,"9,9,9,23,1,1,1,18,10,7,17,29,4,15,2,2,2,2,0,0,0,30,13"
3.5440845489501953,0.8465,784.250977,5.0,10.0,4.0,"6,8,8,10,9,3,3,7,7,11,11,15,4,1,1,13,2,2,27,27,27,27,27"
3.5445926189422607,0.8465,732.150574,9.0,10.0,2.0,"21,20,15,15,28,8,8,17,12,13,24,29,5,0,0,11,11,11,23,4,6,26,18"
3.5468289852142334,0.8465,711.01062,8.0,11.0,2.0,"21,15,15,15,28,8,10,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,30"
3.5560457706451416,0.8465,717.076477,7.0,10.0,3.0,"15,14,14,14,28,8,10,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,30"
3.5575296878814697,0.8465,766.152039,3.0,20.0,0.0,"9,9,9,9,14,14,14,10,10,1,30,30,7,2,2,18,12,12,12,12,12,12,12"
3.5578153133392334,0.8465,726.759888,11.0,4.0,4.0,"21,20,1,27,27,8,10,17,12,13,24,29,5,7,9,9,9,0,19,4,18,18,18"
3.5583443641662598,0.8465,726.995239,7.0,12.0,2.0,"21,15,15,15,28,8,10,17,12,13,13,22,5,0,0,11,11,11,11,11,16,26,30"
3.5592048168182373,0.8465,747.592041,9.0,8.0,3.0,"21,20,15,15,28,8,8,17,12,13,24,29,5,0,0,11,10,10,23,4,6,26,18"
3.562027931213379,0.8465,719.876587,9.0,12.0,1.0,"21,15,15,15,28,8,17,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,30"
3.562065839767456,0.8465,762.488037,0.0,13.0,5.0,"6,8,8,8,14,3,3,1,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.564131259918213,0.8465,744.987549,10.0,7.0,3.0,"21,20,15,15,27,8,10,17,12,13,24,29,5,7,25,3,3,3,19,4,6,18,18"
3.5844080448150635,0.8465,743.043335,8.0,7.0,4.0,"21,20,15,15,28,8,10,17,12,13,24,29,5,0,0,11,7,7,7,4,6,26,18"
3.585080623626709,0.8465,726.094421,2.0,15.0,3.0,"8,8,8,8,5,3,3,23,7,9,9,18,4,0,13,13,12,12,12,12,12,12,12"
3.5852208137512207,0.8465,745.678711,7.0,8.0,4.0,"14,20,15,3,3,8,10,17,12,13,24,29,5,0,0,11,11,11,11,4,26,26,18"
3.5872766971588135,0.8465,717.234985,3.0,20.0,0.0,"8,8,8,8,30,3,3,23,7,11,11,18,4,0,13,13,13,13,13,13,13,13,13"
3.5908713340759277,0.8465,736.536804,6.0,9.0,4.0,"14,20,15,3,3,8,10,17,12,13,13,29,5,0,0,11,11,11,11,4,26,26,18"
3.6005020141601562,0.8465,786.692078,1.0,22.0,0.0,"9,9,9,9,5,5,5,13,10,1,1,18,6,15,2,2,2,2,2,2,2,2,2"
3.608144998550415,0.8465,722.924744,9.0,10.0,2.0,"21,20,15,15,28,8,10,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,18"
3.6152403354644775,0.8465,746.733154,9.0,8.0,3.0,"21,20,15,15,28,8,10,17,12,13,24,29,5,0,0,11,11,11,23,4,6,26,18"
3.6168017387390137,0.8465,765.003174,1.0,22.0,0.0,"9,9,9,9,5,5,5,13,10,1,1,18,7,15,2,2,2,2,2,2,2,2,2"
3.6203954219818115,0.8465,742.783875,10.0,5.0,4.0,"21,20,1,27,14,8,10,17,12,13,24,29,5,7,9,9,9,0,19,4,18,18,18"
3.620758295059204,0.8465,745.448059,10.0,3.0,5.0,"21,20,1,27,27,8,10,17,12,13,24,29,5,7,9,9,9,0,19,4,18,18,11"
3.623699188232422,0.8465,761.975098,0.0,13.0,5.0,"8,8,8,8,9,3,1,14,7,11,11,15,4,0,13,13,12,12,12,12,12,5,5"
3.625847339630127,0.8465,745.281067,11.0,6.0,3.0,"21,20,1,15,27,8,10,17,12,13,24,29,5,7,25,11,11,11,19,4,18,18,18"
3.62697696685791,0.8465,763.779175,1.0,8.0,7.0,"6,8,8,27,14,3,3,1,7,11,5,15,4,0,0,13,12,12,12,12,12,2,9"
3.629103183746338,0.8465,740.81134,2.0,11.0,5.0,"6,8,8,10,14,3,3,1,7,11,11,15,4,0,0,13,12,12,12,12,12,19,19"
3.6304144859313965,0.8465,739.771912,8.0,7.0,4.0,"14,20,15,3,27,8,10,17,12,13,24,29,5,0,0,11,11,11,11,4,26,26,18"
3.6346869468688965,0.8465,747.863098,8.0,13.0,1.0,"21,15,15,15,28,8,17,17,12,13,24,22,5,0,0,11,11,11,11,11,11,26,30"
3.635148048400879,0.8465,752.16272,10.0,9.0,2.0,"21,20,15,22,28,8,8,17,12,13,24,29,5,0,0,11,11,11,23,4,6,26,18"
3.635230302810669,0.8465,762.678162,9.0,6.0,4.0,"21,20,15,27,28,8,10,17,12,13,24,29,5,0,0,11,7,7,7,4,6,26,18"
3.6358909606933594,0.8465,723.367065,6.0,11.0,3.0,"15,14,14,14,28,8,10,17,12,13,24,22,5,0,0,11,11,11,11,11,11,26,30"
3.637115240097046,0.8465,779.40094,5.0,16.0,1.0,"9,9,9,20,1,1,1,18,10,12,17,29,4,15,2,2,2,2,2,2,2,22,13"
3.6382834911346436,0.8465,694.845154,3.0,14.0,3.0,"8,8,8,8,30,3,3,23,7,9,9,18,4,2,13,13,12,12,12,12,12,12,12"
3.641545057296753,0.8465,723.65802,7.0,12.0,2.0,"15,15,15,15,28,8,10,17,12,13,24,22,5,0,0,11,11,11,11,11,16,26,30"
3.648541212081909,0.8465,749.635986,10.0,9.0,2.0,"21,20,15,27,28,8,8,17,12,13,24,29,5,0,0,11,11,11,23,4,6,26,18"
3.6495132446289062,0.8465,700.625549,1.0,20.0,1.0,"9,11,11,11,5,5,5,13,10,1,1,30,6,15,3,3,3,3,3,3,3,3,3"
3.651440382003784,0.8465,759.18927,0.0,9.0,7.0,"6,8,8,10,14,3,3,1,7,11,11,15,4,0,5,13,12,12,12,12,12,12,9"
3.6525464057922363,0.8465,768.075195,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,2,12,12,12,12,12,12,12,12"
3.6573660373687744,0.8465,747.950867,10.0,9.0,2.0,"21,20,15,15,28,8,10,17,12,13,24,29,5,0,0,11,11,11,11,23,16,26,18"
3.6579666137695312,0.8465,749.676331,0.0,11.0,6.0,"6,8,8,10,14,3,3,1,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.6587798595428467,0.8465,746.241638,9.0,8.0,3.0,"21,20,15,15,28,8,8,17,12,13,24,29,5,0,1,11,11,11,23,4,6,26,18"
3.6599667072296143,0.8465,745.818176,10.0,9.0,2.0,"21,20,15,15,28,8,16,17,12,13,24,29,5,0,0,11,11,11,23,4,6,26,18"
3.6626474857330322,0.8465,728.143921,2.0,11.0,5.0,"6,8,8,10,10,3,3,1,7,11,29,15,4,0,0,13,12,12,12,12,12,2,27"
3.6628005504608154,0.8465,853.516602,12.0,3.0,4.0,"21,20,1,30,27,8,10,17,12,14,24,29,5,7,25,28,11,0,19,4,6,26,18"
3.663407325744629,0.8465,702.160278,2.0,15.0,3.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,2,13,13,12,12,12,12,12,12,12"
3.6658194065093994,0.8465,746.820984,5.0,12.0,3.0,"8,8,8,8,14,3,3,23,7,9,9,16,4,0,13,13,12,5,5,5,26,26,26"
3.6669981479644775,0.8465,751.487488,3.0,8.0,6.0,"6,8,8,10,14,3,3,1,7,11,11,15,4,0,0,13,12,12,16,16,16,2,2"
3.6670448780059814,0.8465,718.19281,1.0,12.0,5.0,"6,8,8,10,10,3,3,1,7,11,11,15,4,0,0,13,12,12,12,12,12,2,27"
3.671964168548584,0.8465,735.480408,9.0,6.0,4.0,"14,20,15,31,31,8,10,17,12,13,24,21,5,0,0,11,11,11,11,4,26,26,18"
3.672267198562622,0.8465,750.245239,6.0,7.0,5.0,"14,20,15,3,3,8,10,17,12,13,2,29,5,0,0,11,11,11,11,4,26,26,18"
3.6723551750183105,0.8465,759.683777,1.0,22.0,0.0,"9,9,9,9,5,5,5,13,10,1,1,18,6,14,2,2,2,2,2,2,2,2,2"
3.672853708267212,0.8465,761.643616,1.0,8.0,7.0,"6,8,8,10,14,3,3,1,7,11,21,15,4,0,5,13,12,12,12,12,12,12,9"
3.67372465133667,0.8465,774.443115,12.0,3.0,4.0,"21,20,1,15,27,8,10,17,12,13,24,29,5,7,28,28,11,0,19,4,22,26,18"
3.673950433731079,0.8465,774.401794,12.0,7.0,2.0,"21,20,1,27,27,8,10,17,12,13,24,29,5,7,9,14,14,14,19,19,18,18,18"
3.6742260456085205,0.8465,760.653442,0.0,7.0,8.0,"6,8,8,10,14,3,3,1,7,11,11,15,4,0,5,13,12,12,12,12,12,2,9"
3.674231767654419,0.8465,759.683044,8.0,5.0,5.0,"21,20,15,15,28,8,10,17,12,13,24,29,5,0,1,11,7,7,7,4,6,26,18"
3.677750825881958,0.8465,763.103638,2.0,21.0,0.0,"9,9,9,21,5,5,5,13,13,1,1,18,6,15,2,2,2,2,2,2,2,2,2"
3.6805741786956787,0.8465,710.938477,2.0,19.0,1.0,"10,10,10,10,3,3,3,14,7,11,27,31,4,0,12,12,12,12,12,12,12,12,12"
3.6807754039764404,0.8465,740.911804,12.0,9.0,1.0,"21,20,1,27,27,8,10,17,12,13,24,29,5,7,15,15,15,15,19,19,18,18,18"
3.684908866882324,0.8465,695.116821,1.0,20.0,1.0,"10,10,10,10,3,3,3,14,7,11,11,31,4,0,12,12,12,12,12,12,12,12,12"
3.6857573986053467,0.8465,850.55658,11.0,2.0,5.0,"21,20,1,15,27,8,10,17,12,14,24,29,5,7,25,28,11,0,19,4,6,26,18"
3.6861279010772705,0.8465,762.180542,7.0,6.0,5.0,"21,20,15,15,28,8,10,17,12,13,1,29,5,0,0,11,7,7,7,4,6,26,18"
3.686739683151245,0.8465,743.099915,7.0,8.0,4.0,"14,28,15,3,3,8,10,17,12,13,24,29,5,0,0,11,11,11,11,4,26,26,18"
3.6884264945983887,0.8465,774.432495,5.0,16.0,1.0,"21,9,15,15,28,8,8,17,7,13,24,29,5,0,0,11,11,11,11,11,11,11,11"
3.689478635787964,0.8465,704.097717,4.0,15.0,2.0,"9,9,9,9,5,14,14,13,10,1,30,30,7,15,2,2,12,12,12,12,12,19,19"
3.6896443367004395,0.8465,746.219849,2.0,21.0,0.0,"9,9,9,9,5,5,5,10,10,1,30,30,7,15,13,13,13,13,13,13,13,13,13"
3.6906511783599854,0.8465,729.956116,0.0,13.0,5.0,"6,8,8,10,10,3,3,1,7,11,11,15,4,0,0,13,12,12,12,12,12,2,2"
3.6916513442993164,0.8465,852.523804,10.0,1.0,6.0,"21,9,1,15,27,8,10,17,12,14,24,29,5,7,25,28,11,0,19,4,6,26,18"
3.6957037448883057,0.8465,749.890869,5.0,16.0,1.0,"21,9,15,15,28,8,8,17,2,13,24,29,5,0,0,11,11,11,11,11,11,11,11"
3.698852300643921,0.8465,704.786194,2.0,19.0,1.0,"10,10,10,10,3,3,18,14,7,11,11,31,4,0,12,12,12,12,12,12,12,12,12"
